#,Name,Type1,Type2,Total,HP,Attack,Defense,SP.Atk,SP.Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
6,Squirtle,Water,,314,44,48,65,50,64,43,1,False
7,Wartortle,Water,,405,59,63,80,65,80,58,1,False
8,Blastoise,Water,,530,79,83,100,85,105,78,1,False
9,Caterpie,Bug,,195,45,30,35,20,20,45,1,False
10,Metapod,Bug,,205,50,20,55,25,25,30,1,False
